OPCO;Scope 1 (tCO2e);Scope 2 MB (tCO2e);Scope 2 LB (tCO2e);Scope 3 (tCO2e);Total LB (tCO2)
ABS (Axa Business Services);0,000;0,000;0,005;0,011;0,016
AXA GO (incl. Tech, AGS, Shared);0,668;0,973;63,622;80,090;144,380
Direct Assurance;0,019;0,000;1,792;2,198;4,010
G9+6+3-Axa Assistance/Partners;0,002;0,000;0,949;1,095;2,046
G9+6+3-Axa IM;0,261;0,000;21,225;25,921;47,408
G9+6-Axa Mexico;0,010;0,000;1,405;2,230;3,645
G9+6-Axa Philippines;0,007;1,398;2,759;2,267;5,034
G9+6-Axa Thailand;0,001;0,171;0,342;0,285;0,627
G9+6-INM Brazil;0,000;0,000;0,035;0,041;0,076
G9-Axa Belgium;1,061;0,000;24,733;35,356;61,151
G9-Axa France;0,518;0,003;69,622;84,263;154,402
G9-Axa Germany;0,006;0,000;2,442;2,824;5,273
G9-Axa Hong Kong;0,081;2,828;12,839;19,924;32,844
G9-Axa Italy;0,002;0,000;0,726;0,839;1,566
G9-Axa Japan;0,001;0,001;0,115;0,197;0,313
G9-Axa Spain;0,021;0,000;8,074;9,338;17,432
G9-Axa Switzerland;0,041;0,000;8,687;18,259;26,987
G9-Axa UK&I;2,329;0,000;83,789;111,046;197,163
GIE;0,000;0,000;0,002;0,004;0,005
Others;0,001;0,000;0,181;0,247;0,429
TOTAL;5,029;5,374;303,344;396,432;704,805
